Genre_04_nouns.csv
Unique nouns: 751, Total nouns: 1792
Total time: Uncomputed,Cost per noun: Uncomputed
goal,"['A game usually based on Minesweeper involving a tile-based board on which you uncover clues and use them to reach the goal while avoiding threats or satisfying some other condition.', '(ex: Final Fantasy , Dragon Quest )\n\nRomance Game : A game in which the primary goal is to establish a romantic relationship between the Player Character and one or more of the NPCs.', '(ex: The Idolmaster )\n\nVirtual Pet : A game where the player interacts with a digital pet, with the goal of caring for it like a real one.', '\n\n4X (4X): A game that has four simple goals, which are eXplore, eXpand, eXploit and eXterminate.', '\n\nWide-Open Sandbox : When the massive open world and optional material outweigh the actual, goal-oriented game play.']",5
threat,['A game usually based on Minesweeper involving a tile-based board on which you uncover clues and use them to reach the goal while avoiding threats or satisfying some other condition.'],1
condition,"['A game usually based on Minesweeper involving a tile-based board on which you uncover clues and use them to reach the goal while avoiding threats or satisfying some other condition.', '(ex: Civilization )\n\nArtillery Game : A game that tasks the player with successfully aiming at an opponent with a ballistics trajectory under various conditions.']",2
blocks,"[""Falling Blocks : A game in which blocks fall from the top of the screen, requiring the player to move and flip them so that they'll be arranged in a way to make them disappear, and if the blocks reach the top of the screen then the game ends.""]",1
top,"[""Falling Blocks : A game in which blocks fall from the top of the screen, requiring the player to move and flip them so that they'll be arranged in a way to make them disappear, and if the blocks reach the top of the screen then the game ends."", ""\n\nThree Quarters View : A perspective that is a tilted bird's eye view perspective in which both the top and front of an object is seen at the same time, and the vertical axis indicates both height and depth."", '\n\nTop-Down View : A perspective that views all objects straight and nowhere else.']",4
tetris,"['(ex: Tetris , Puyo Puyo )\n\nRhythm Game : A game that will flash commands, and the player has to input the same, synchronized to a beat or melody.']",1
puyo,"['(ex: Tetris , Puyo Puyo )\n\nRhythm Game : A game that will flash commands, and the player has to input the same, synchronized to a beat or melody.']",2
rhythm,"['(ex: Tetris , Puyo Puyo )\n\nRhythm Game : A game that will flash commands, and the player has to input the same, synchronized to a beat or melody.']",1
command,"['(ex: Tetris , Puyo Puyo )\n\nRhythm Game : A game that will flash commands, and the player has to input the same, synchronized to a beat or melody.']",1
beat,"['(ex: Tetris , Puyo Puyo )\n\nRhythm Game : A game that will flash commands, and the player has to input the same, synchronized to a beat or melody.']",1
melody,"['(ex: Tetris , Puyo Puyo )\n\nRhythm Game : A game that will flash commands, and the player has to input the same, synchronized to a beat or melody.']",1
beatmania,"['(ex: beatmania , Guitar Hero )\n\nRising Up The Food Chain Game : A game in which the player must eat creatures smaller than himself and become bigger, which allows him to eat more creatures.']",1
guitar,"['(ex: beatmania , Guitar Hero )\n\nRising Up The Food Chain Game : A game in which the player must eat creatures smaller than himself and become bigger, which allows him to eat more creatures.']",1
food,"['(ex: beatmania , Guitar Hero )\n\nRising Up The Food Chain Game : A game in which the player must eat creatures smaller than himself and become bigger, which allows him to eat more creatures.', 'A video game created to advertise a product such as a food or store.']",2
chain,"['(ex: beatmania , Guitar Hero )\n\nRising Up The Food Chain Game : A game in which the player must eat creatures smaller than himself and become bigger, which allows him to eat more creatures.']",1
feeding,['(ex: Feeding Frenzy )'],1
frenzy,['(ex: Feeding Frenzy )'],1
â€,['Role-Playing Game (RPG) â€” see also Tabletop Games (Tabletop RPG): A game in which the player controls a character or party of characters in a statistically abstracted way.'],1
tabletop,['Role-Playing Game (RPG) â€” see also Tabletop Games (Tabletop RPG): A game in which the player controls a character or party of characters in a statistically abstracted way.'],1
modifier,"['Either a sub-genre of the Role-playing Game or a genre modifier, depending on who you ask.', 'There are several modifiers that can be applied to the genre of a game, as a twist on the standard formula.']",2
kingdom,"['(ex: Kingdom Hearts , Diablo )']",1
hearts,"['(ex: Kingdom Hearts , Diablo )']",1
diablo,"['(ex: Kingdom Hearts , Diablo )']",1
multi,"['Multi-User Dungeon ( MUD ) and MOO: An Interactive Fiction that allows multiple (perhaps thousands) players to play at the same time.', 'A Multi-User Text-Oriented Game that emphasizes role playing and player intervention.', '\n\nMUSH ( Multi User Shared Hallucination ): A MUD that is just a series of rooms, with players given the bare minimum of interaction systems and let loose to create and manage their own role playing.']",3
-,"['Multi-User Dungeon ( MUD ) and MOO: An Interactive Fiction that allows multiple (perhaps thousands) players to play at the same time.', 'A Multi-User Text-Oriented Game that emphasizes role playing and player intervention.', 'Roguelike : A game that features Dungeon Crawling with randomly generated environments randomly stocked from a huge list of monsters and items, Permadeath , Anti-Grinding and is Nintendo Hard .', ""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference."", 'Sub-genre of a Strategy Game.', '(ex: Valkyria Chronicles , X-COM )', '\n\nCo-Op Multiplayer :']",7
user,"['Multi-User Dungeon ( MUD ) and MOO: An Interactive Fiction that allows multiple (perhaps thousands) players to play at the same time.', 'A Multi-User Text-Oriented Game that emphasizes role playing and player intervention.', '\n\nMUSH ( Multi User Shared Hallucination ): A MUD that is just a series of rooms, with players given the bare minimum of interaction systems and let loose to create and manage their own role playing.', ""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference.""]",4
dungeon,"['Multi-User Dungeon ( MUD ) and MOO: An Interactive Fiction that allows multiple (perhaps thousands) players to play at the same time.', 'Roguelike : A game that features Dungeon Crawling with randomly generated environments randomly stocked from a huge list of monsters and items, Permadeath , Anti-Grinding and is Nintendo Hard .']",2
